Country,interpolated_rows,interpolated_share
Curaçao,58,0.9830508474576272
Monaco,58,0.9830508474576272
"Micronesia, Federated States of",58,0.9830508474576272
South Sudan,58,0.9830508474576272
Djibouti,57,0.9661016949152542
Congo (Democratic Republic of the),57,0.9661016949152542
Equatorial Guinea,57,0.9661016949152542
Marshall Islands,57,0.9661016949152542
Guinea-Bissau,56,0.9491525423728814
Turks and Caicos Islands,56,0.9491525423728814
St. Vincent and the Grenadines,56,0.9491525423728814
Libya,56,0.9491525423728814
Lebanon,55,0.9322033898305084
Faroe Islands,55,0.9322033898305084
China,55,0.9322033898305084
Comoros,55,0.9322033898305084
Gambia,55,0.9322033898305084
Gabon,55,0.9322033898305084
Guinea,55,0.9322033898305084
Solomon Islands,55,0.9322033898305084
United States Virgin Islands,55,0.9322033898305084
Kazakhstan,55,0.9322033898305084
Palau,55,0.9322033898305084
Sao Tome and Principe,55,0.9322033898305084
Tuvalu,55,0.9322033898305084
Papua New Guinea,55,0.9322033898305084
Mauritania,54,0.9152542372881356
Eswatini,54,0.9152542372881356
Sierra Leone,54,0.9152542372881356
St. Kitts and Nevis,54,0.9152542372881356
Tajikistan,54,0.9152542372881356
Kenya,54,0.9152542372881356
Nauru,54,0.9152542372881356
Mozambique,54,0.9152542372881356
Northern Mariana Islands,54,0.9152542372881356
Antigua and Barbuda,54,0.9152542372881356
Congo,54,0.9152542372881356
Chad,54,0.9152542372881356
British Virgin Islands,54,0.9152542372881356
Afghanistan,54,0.9152542372881356
Guyana,53,0.8983050847457628
Laos,53,0.8983050847457628
Kiribati,53,0.8983050847457628
Vanuatu,53,0.8983050847457628
Myanmar,53,0.8983050847457628
Ethiopia,53,0.8983050847457628
Angola,53,0.8983050847457628
Timor-Leste,52,0.8813559322033898
Bermuda,52,0.8813559322033898
Cabo Verde,52,0.8813559322033898
Nigeria,52,0.8813559322033898
Oman,52,0.8813559322033898
New Caledonia,52,0.8813559322033898
Senegal,52,0.8813559322033898
Grenada,51,0.864406779661017
French Polynesia,51,0.864406779661017
Dominica,51,0.864406779661017
Aruba,51,0.864406779661017
Sudan,51,0.864406779661017
Iraq,51,0.864406779661017
Liberia,51,0.864406779661017
Maldives,51,0.864406779661017
Zimbabwe,51,0.864406779661017
Burkina Faso,50,0.847457627118644
Madagascar,50,0.847457627118644
Lesotho,50,0.847457627118644
Greenland,50,0.847457627118644
